raw_word,is_promoted,type_unsmile
쉽할,False,A
쉽헐,False,A
쉿발,False,A
쉿벌,False,A
쉿빨,False,A
쉿뻘,False,A
쉿팍,False,A
쉿팔,False,A
쉿펄,False,A
스발,False,A
스벌,False,A
스팔,False,A
스펄,False,A
싀댈,False,A
싀델,False,A
싀뎅,False,A
싀바라,False,A
싀발,False,A
싀밸,False,A
싀벌,False,A
싀벨,False,A
싀봉,False,A
싀봘,False,A
싀팍,False,A
싀팔,False,A
싀팤,False,A
싀펄,False,A
싀퐐,False,A
싑새,False,A
시댕,False,A
시뎅,False,A
시바,False,A
시발,False,A
시밸,False,A
시뱅,False,A
시뱅년,False,A
시뱔,False,A
시버럴,False,A
시벌,False,A
시벨,False,A
시벵,False,A
시볼,False,A
시봉,False,A
시부랄,False,A
시부럴,False,A
시불,False,A
시붕,False,A
시브랄,False,A
시블,False,A
시빨,False,A
시뺠,False,A
시뿔,False,A
시이발,False,A
시이벌,False,A
시이불,False,A
시이붕,False,A
시이팔,False,A
시이펄,False,A
시이풀,False,A
시입팔,False,A
시탈놈,False,A
시파,False,A
시팍,False,A
시팔,False,A
시팡,False,A
시팰,False,A
시펄,False,A
시풀,False,A
식펄년이,False,A
심년아,False,A
십녀,False,A
십때끼,False,A
십땡구리,False,A
십땡그리,False,A
십땡글이,False,A
십떼끼,False,A
십물,False,A
십발,False,A
십버지,False,A
십벌,False,A
십볼,False,A
십부랄,False,A
십부럴,False,A
십불,False,A
십블,False,A
십빡,False,A
십빨,False,A
십뻘,False,A
십뽈,False,A
십뿔,False,A
십쁠,False,A
십새,False,A
십새리,False,A
십색,False,A
십세,False,A
십셰리,False,A
십쉐,False,A
십쌔,False,A
십쌔끼,False,A
십쌕,False,A
십쎄,False,A
십쎅,False,A
십알,False,A
십을년,False,A
십자슥,False,A
십지랄,False,A
십질,False,A
십창,False,A
십탱,False,A
십텡,False,A
십파,False,A
십팍,False,A
십팔,False,A
십팡넘아,False,A
십펄,False,A
십할,False,A
십헐,False,A
싯발,False,A
싯벌,False,A
싯볼,False,A
싯빨,False,A
싯뻘,False,A
싯팔,False,A
싶새,False,A
싶세,False,A
싶쉐,False,A
싶쌔,False,A
싶쎄,False,A
싶알,False,A
싶질,False,A
싶창,False,A
싶팍,False,A
싶팔,False,A
싶펄,False,A
싶할,False,A
싶헐,False,A
싸까쉬,False,A
싸까시,False,A
싸까씨,False,A
싸까지,False,A
싸까찌,False,A
싸넘,False,A
싸년,False,A
싸놈,False,A
싸뇬,False,A
싸늠,False,A
싸발,False,A
싸벌,False,A
싸이코,False,A
싹바가지,False,A
싹박아지,False,A
쌉쌕뀌,False,A
쌍넌,False,A
쌍넘,False,A
쌍년,False,A
쌍놈,False,A
쌍뇬,False,A
쌍늠,False,A
쌍보지,False,A
쌍통,False,A
쌔기,False,A
쌔꺄,False,A
쌔끼,False,A
쌔키,False,A
